Name,MHP,MMP,STR,DEF,MAG,RES,SPD,SKL,LCK,MOV,JMP,FRT
Myrmidon,0.9,0.6,0.9,0.8,0.35,0.6,0.9,0.6,0.6,0.0,0.0,0.45
Necromancer,0.7,1.0,0.45,0.6,1.0,1.0,0.6,0.7,0.5,0.0,0.0,1.00
Neophyte,0.5,0.6,0.8,0.3,0.5,0.8,0.4,0.8,0.5,0.0,0.0,0.80
Paladin,0.9,0.9,0.9,0.5,0.45,0.6,0.9,0.8,0.7,0.0,0.0,0.55
Pegasus Knight,0.7,0.7,0.4,0.4,0.35,0.9,0.9,0.9,0.6,0.0,0.0,0.45
Performer,0.8,0.8,0.3,0.4,0.6,0.7,0.8,0.7,0.5,0.0,0.0,0.80
Pyromancer,0.7,1.0,0.45,0.6,1.0,1.0,0.6,0.7,0.5,0.0,0.0,1.00
Rogue,0.7,0.7,0.7,0.5,0.35,0.5,0.9,0.9,0.9,0.0,0.0,0.45
Shield Bearer,0.8,0.6,0.3,1.8,0.25,0.3,0.3,0.4,0.5,0.0,0.0,1.00
Sniper,0.8,0.8,1.0,0.8,0.45,0.6,1.0,1.0,0.9,0.0,0.0,0.45
Soldier,0.7,0.7,0.7,0.7,0.25,0.4,0.7,0.6,0.5,0.0,0.0,0.65
Space Mage,0.5,0.8,0.25,0.4,0.8,0.8,0.4,0.5,0.5,0.0,0.0,0.80
Space Sage,0.6,0.9,0.35,0.5,0.9,0.9,0.5,0.6,0.5,0.0,0.0,0.75
Spatiomancer,0.7,1.0,0.45,0.6,1.0,1.0,0.6,0.7,0.5,0.0,0.0,1.00
Swordmaster,1.0,0.7,1.0,0.9,0.45,0.7,1.0,0.7,0.7,0.0,0.0,0.70
Terramancer,0.7,1.0,0.45,0.6,1.0,1.0,0.6,0.7,0.5,0.0,0.0,1.00
Thief,0.6,0.6,0.6,0.4,0.25,0.4,0.8,0.8,0.8,0.0,0.0,0.35
Time Mage,0.5,0.8,0.25,0.4,0.8,0.8,0.4,0.5,0.5,0.0,0.0,0.80
Time Sage,0.6,0.9,0.35,0.5,0.9,0.9,0.5,0.6,0.5,0.0,0.0,0.75
Valkyrie,0.8,0.8,0.5,0.5,0.45,1.0,1.0,1.0,0.7,0.0,0.0,1.00
Water Mage,0.5,0.8,0.25,0.4,0.8,0.8,0.4,0.5,0.5,0.0,0.0,0.80
Water Sage,0.6,0.9,0.35,0.5,0.9,0.9,0.5,0.6,0.5,0.0,0.0,0.75
Wind Mage,0.5,0.8,0.25,0.4,0.8,0.8,0.4,0.5,0.5,0.0,0.0,0.80
Wind Sage,0.6,0.9,0.35,0.5,0.9,0.9,0.5,0.6,0.5,0.0,0.0,0.75
Wyvern Knight,0.9,0.9,0.9,0.7,0.35,0.4,0.4,0.6,0.6,0.0,0.0,0.45
